ADAL,trans
ADEL,trans
ADFL,boundary
ADLL,boundary
AFDL,single
AIAL,single
AIBL,trans
AIML,single
AINL,trans
AIYL,single
AIZL,trans
ALA,single
ALML,trans
ALNL,boundary
AQR,single
ASEL,single
ASGL,single
ASHL,boundary
ASIL,single
ASJL,single
ASKL,single
AUAL,boundary
AVAL,trans
AVBL,single
AVDL,trans
AVEL,trans
AVFL,trans
AVHL,single
AVJL,single
AVKL,boundary
AVL,single
AVM,single
AWAL,single
AWBL,single
AWCL,single
BAGL,trans
BDUL,single
CEPDL,boundary
CEPVL,boundary
DVA,boundary
DVC,single
FLPL,boundary
IL1DL,single
IL1L,boundary
IL1VL,single
IL2DL,single
IL2L,single
IL2VL,single
OLLL,boundary
OLQDL,boundary
OLQVL,boundary
PVCL,single
PVPL,single
PVQL,single
PVT,single
RIAL,trans
RIBL,trans
RICL,trans
RID,trans
RIFL,boundary
RIGL,boundary
RIH,trans
RIML,trans
RIPL,single
RIR,trans
RIS,boundary
RIVL,boundary
RMDDL,trans
RMDL,trans
RMDVL,trans
RMED,trans
RMEL,single
RMEV,trans
RMFL,trans
RMGL,trans
RMHL,trans
SAADL,boundary
SAAVL,single
SDQL,single
SIADL,boundary
SIAVL,single
SIBDL,single
SIBVL,boundary
SMBDL,boundary
SMBVL,trans
SMDDL,trans
SMDVL,boundary
URADL,single
URAVL,single
URBL,trans
URXL,trans
URYDL,single
URYVL,boundary
